target_city,anchor_budget,rank,anchor_id
Ardahan,1,1,base_0948
Ardahan,3,1,base_0948
Ardahan,3,2,base_0945
Ardahan,3,3,base_0724
Bartin,1,1,base_0948
Bartin,3,1,base_0948
Bartin,3,2,base_0945
Bartin,3,3,base_0724
Bingol,1,1,base_0948
Bingol,3,1,base_0948
Bingol,3,2,base_0945
Bingol,3,3,base_0724
Canakkale,1,1,base_0948
Canakkale,3,1,base_0948
Canakkale,3,2,base_0945
Canakkale,3,3,base_0724
Hatay,1,1,base_0948
Hatay,3,1,base_0948
Hatay,3,2,base_0945
Hatay,3,3,base_0724
Kars,1,1,base_0948
Kars,3,1,base_0948
Kars,3,2,base_0945
Kars,3,3,base_0724
Konya,1,1,base_0948
Konya,3,1,base_0948
Konya,3,2,base_0945
Konya,3,3,base_0724
Sanliurfa,1,1,base_0948
Sanliurfa,3,1,base_0948
Sanliurfa,3,2,base_0945
Sanliurfa,3,3,base_0724
