base_design_id,city,design_id,energy_design_id,design_schema_version,room_type,room_width_m,room_depth_m,room_height_m,floor_area_m2,volume_m3,aspect_ratio,orientation,orientation_deg,window_wall_ratio,shading_depth_m,glazing_type,wall_u_category,wall_u_value_w_m2k,roof_u_value_w_m2k,floor_u_value_w_m2k,glazing_u_value,shgc,vlt,energy_simulation_ready
base_0001,Ankara,Ankara_base_0001,cg2_ankara_0001,classguard_v2_paired_1,classroom,7.1819,7.1537,3.6243,51.377298,186.206418,0.996065,S,180,0.20119,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0001,Antalya,Antalya_base_0001,cg2_antalya_0001,classguard_v2_paired_1,classroom,7.1819,7.1537,3.6243,51.377298,186.206418,0.996065,S,180,0.20119,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0001,Bursa,Bursa_base_0001,cg2_bursa_0001,classguard_v2_paired_1,classroom,7.1819,7.1537,3.6243,51.377298,186.206418,0.996065,S,180,0.20119,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0001,Erzurum,Erzurum_base_0001,cg2_erzurum_0001,classguard_v2_paired_1,classroom,7.1819,7.1537,3.6243,51.377298,186.206418,0.996065,S,180,0.20119,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0001,Istanbul,Istanbul_base_0001,cg2_istanbul_0001,classguard_v2_paired_1,classroom,7.1819,7.1537,3.6243,51.377298,186.206418,0.996065,S,180,0.20119,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0001,Izmir,Izmir_base_0001,cg2_izmir_0001,classguard_v2_paired_1,classroom,7.1819,7.1537,3.6243,51.377298,186.206418,0.996065,S,180,0.20119,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0002,Ankara,Ankara_base_0002,cg2_ankara_0002,classguard_v2_paired_1,classroom,7.2577,8.1445,3.013,59.110193,178.096818,1.122199,S,180,0.31724,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0002,Antalya,Antalya_base_0002,cg2_antalya_0002,classguard_v2_paired_1,classroom,7.2577,8.1445,3.013,59.110193,178.096818,1.122199,S,180,0.31724,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0002,Bursa,Bursa_base_0002,cg2_bursa_0002,classguard_v2_paired_1,classroom,7.2577,8.1445,3.013,59.110193,178.096818,1.122199,S,180,0.31724,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0002,Erzurum,Erzurum_base_0002,cg2_erzurum_0002,classguard_v2_paired_1,classroom,7.2577,8.1445,3.013,59.110193,178.096818,1.122199,S,180,0.31724,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0002,Istanbul,Istanbul_base_0002,cg2_istanbul_0002,classguard_v2_paired_1,classroom,7.2577,8.1445,3.013,59.110193,178.096818,1.122199,S,180,0.31724,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0002,Izmir,Izmir_base_0002,cg2_izmir_0002,classguard_v2_paired_1,classroom,7.2577,8.1445,3.013,59.110193,178.096818,1.122199,S,180,0.31724,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0003,Ankara,Ankara_base_0003,cg2_ankara_0003,classguard_v2_paired_1,classroom,7.6617,7.8326,3.7505,60.011067,225.073897,1.022317,E,90,0.36819,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0003,Antalya,Antalya_base_0003,cg2_antalya_0003,classguard_v2_paired_1,classroom,7.6617,7.8326,3.7505,60.011067,225.073897,1.022317,E,90,0.36819,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0003,Bursa,Bursa_base_0003,cg2_bursa_0003,classguard_v2_paired_1,classroom,7.6617,7.8326,3.7505,60.011067,225.073897,1.022317,E,90,0.36819,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0003,Erzurum,Erzurum_base_0003,cg2_erzurum_0003,classguard_v2_paired_1,classroom,7.6617,7.8326,3.7505,60.011067,225.073897,1.022317,E,90,0.36819,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0003,Istanbul,Istanbul_base_0003,cg2_istanbul_0003,classguard_v2_paired_1,classroom,7.6617,7.8326,3.7505,60.011067,225.073897,1.022317,E,90,0.36819,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0003,Izmir,Izmir_base_0003,cg2_izmir_0003,classguard_v2_paired_1,classroom,7.6617,7.8326,3.7505,60.011067,225.073897,1.022317,E,90,0.36819,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0004,Ankara,Ankara_base_0004,cg2_ankara_0004,classguard_v2_paired_1,classroom,6.6174,7.0734,3.0696,46.807367,143.681719,1.068903,N,0,0.25028,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0004,Antalya,Antalya_base_0004,cg2_antalya_0004,classguard_v2_paired_1,classroom,6.6174,7.0734,3.0696,46.807367,143.681719,1.068903,N,0,0.25028,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0004,Bursa,Bursa_base_0004,cg2_bursa_0004,classguard_v2_paired_1,classroom,6.6174,7.0734,3.0696,46.807367,143.681719,1.068903,N,0,0.25028,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0004,Erzurum,Erzurum_base_0004,cg2_erzurum_0004,classguard_v2_paired_1,classroom,6.6174,7.0734,3.0696,46.807367,143.681719,1.068903,N,0,0.25028,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
