base_design_id,city,design_id,energy_design_id,design_schema_version,room_type,room_width_m,room_depth_m,room_height_m,floor_area_m2,volume_m3,aspect_ratio,orientation,orientation_deg,window_wall_ratio,shading_depth_m,glazing_type,wall_u_category,wall_u_value_w_m2k,roof_u_value_w_m2k,floor_u_value_w_m2k,glazing_u_value,shgc,vlt,energy_simulation_ready
base_0001,Hatay,Hatay_base_0001,ext_hatay_0001,classguard_v2_external_frozen_1,classroom,7.1819,7.1537,3.6243,51.377298,186.206418,0.996065,S,180,0.20119,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0002,Hatay,Hatay_base_0002,ext_hatay_0002,classguard_v2_external_frozen_1,classroom,7.2577,8.1445,3.013,59.110193,178.096818,1.122199,S,180,0.31724,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0003,Hatay,Hatay_base_0003,ext_hatay_0003,classguard_v2_external_frozen_1,classroom,7.6617,7.8326,3.7505,60.011067,225.073897,1.022317,E,90,0.36819,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0004,Hatay,Hatay_base_0004,ext_hatay_0004,classguard_v2_external_frozen_1,classroom,6.6174,7.0734,3.0696,46.807367,143.681719,1.068903,N,0,0.25028,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0005,Hatay,Hatay_base_0005,ext_hatay_0005,classguard_v2_external_frozen_1,classroom,8.0199,10.3644,3.0002,83.121966,249.386307,1.292338,W,270,0.20695,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0006,Hatay,Hatay_base_0006,ext_hatay_0006,classguard_v2_external_frozen_1,classroom,7.9167,8.3828,3.5454,66.364114,235.286722,1.058887,E,90,0.34781,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0007,Hatay,Hatay_base_0007,ext_hatay_0007,classguard_v2_external_frozen_1,classroom,7.5179,8.6483,3.2975,65.017093,214.392896,1.150368,E,90,0.271,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0008,Hatay,Hatay_base_0008,ext_hatay_0008,classguard_v2_external_frozen_1,classroom,7.5154,7.4633,3.7345,56.089348,209.467188,0.993067,W,270,0.38204,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0009,Hatay,Hatay_base_0009,ext_hatay_0009,classguard_v2_external_frozen_1,classroom,7.7052,7.3345,3.6191,56.513198,204.525887,0.951892,W,270,0.24985,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0010,Hatay,Hatay_base_0010,ext_hatay_0010,classguard_v2_external_frozen_1,classroom,6.4784,9.4997,3.2802,61.543197,201.875599,1.466362,W,270,0.36276,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
