city,domain,climate_latitude,climate_longitude,climate_elevation_m,climate_annual_mean_temp_c,climate_annual_min_temp_c,climate_annual_max_temp_c,climate_temp_p01_c,climate_temp_p05_c,climate_temp_p95_c,climate_temp_p99_c,climate_hours_below_0c,climate_hours_above_30c,climate_heating_degree_days_18c,climate_cooling_degree_days_22c,climate_cooling_degree_days_24c,climate_annual_ghi_kwh_m2,climate_annual_dni_kwh_m2,climate_annual_dhi_kwh_m2,climate_mean_relative_humidity_pct,climate_mean_wind_speed_m_s,climate_vertical_n_kwh_m2,climate_vertical_e_kwh_m2,climate_vertical_s_kwh_m2,climate_vertical_w_kwh_m2,climate_orientation_vertical_solar_kwh_m2
Ankara,source,39.973,32.863,891.0,13.071929223744291,-12.6,36.4,-4.0,0.1,29.2,33.140999999999984,372,344,2523.7458333333334,351.1041666666667,227.54583333333332,1732.139,2087.435,511.523,58.91837899543379,2.0040753424657534,395.4292141174368,1198.1950649476726,1286.2126621332382,841.0764475296235,1286.2126621332382
Antalya,source,36.885,30.6829,47.0,19.53165525114155,-0.4,41.2,4.559,7.7,31.30499999999993,35.6,4,791,934.2541666666666,792.0208333333334,527.6958333333333,1854.392,2301.835,464.692,62.13424657534247,1.6729794520547945,386.7884570341672,1229.6419225044117,1294.5903995721037,887.9719948453395,1294.5903995721037
Bursa,source,40.2308,29.0133,100.0,15.32406392694064,-7.2,38.1,-1.0,2.3,29.8,33.7,123,408,1867.0458333333331,421.9666666666667,269.18333333333334,1546.412,1764.634,503.141,72.56632420091324,2.100890410958904,375.9722359158965,1016.3807889709256,1117.8000977299191,780.0493566872728,1117.8000977299191
Erzurum,source,39.9058,41.2544,1869.0,7.221712328767123,-19.7,33.5,-13.6,-9.3,26.2,30.7,2232,126,4306.533333333333,166.6,100.3125,1800.048,2073.498,554.396,61.1865296803653,1.3391666666666666,389.67048200198303,916.84129355749,1380.8118581977335,1048.9581837442663,1380.8118581977335
Istanbul,source,40.90149,29.15247,18.0,16.253904109589044,-3.1,35.0,0.7,4.8,28.7,31.9,24,257,1515.0041666666666,378.6208333333333,217.89583333333331,1545.168,1788.264,492.425,71.56917808219178,1.2743264840182646,366.568144364394,1001.3172425867128,1137.6854336921847,792.3925613649695,1137.6854336921847
Izmir,source,38.3945,27.0821,29.0,18.85,-1.8,38.8,2.0,5.895000000000005,31.5,34.3,20,740,1087.0041666666668,739.8291666666668,491.0666666666666,1816.214,2240.86,465.122,59.13299086757991,2.665799086757991,379.2037645084048,1188.4819094273705,1275.0492137215,890.9155968702743,1275.0492137215
Hatay,held_out_external,36.365,36.284,267.0,19.14681506849315,-2.0,44.0,2.4,6.0,32.0,34.0,5,898,1157.0125,880.9333333333333,595.225,1820.569,2182.006,494.172,66.52614155251142,4.470388127853882,386.735981904024,1137.9248427460773,1269.6967972806076,908.7036212625824,1269.6967972806076
Kars,held_out_external,40.564,43.112,1795.0,5.634155251141552,-30.0,32.0,-20.0,-14.0,24.0,28.440999999999985,2676,16,4762.974999999999,93.57083333333334,49.458333333333336,1726.384,1966.046,550.821,70.37283105022831,3.0429908675799084,381.7096281565724,894.1352962184872,1341.332969366341,994.0069912588136,1341.332969366341
Sanliurfa,held_out_external,37.1604,38.7867,549.0,19.212614155251146,-1.6,42.7,0.6,3.795000000000005,36.6,39.3,41,1659,1452.4166666666667,1199.7541666666668,911.7416666666668,1932.31,2416.634,471.568,46.77716894977169,1.6937100456621004,388.6980108475482,1240.0056851246925,1362.166090614547,959.3420874271842,1362.166090614547
Konya,held_out_external,37.984,32.574,1030.5,12.948036529680364,-15.0,37.0,-9.0,-3.0,28.8,33.0,637,247,2542.875,320.9875,200.06666666666663,1858.122,2285.89,509.469,54.2296803652968,3.456883561643836,406.2903926131569,1274.3844780032557,1362.5207126489152,895.2350419619237,1362.5207126489152
Bartin,held_out_external,41.633,32.333,33.0,14.520844748858448,-12.1,40.3,-1.841,2.7,28.3,30.940999999999985,118,171,1948.3375,298.50416666666666,179.3375,1531.575,1750.522,502.793,81.23105022831051,0.9335045662100456,367.16368657429854,994.2499516853484,1149.59839519809,772.8986163878852,1149.59839519809
Bingol,held_out_external,38.885,40.501,1177.0,11.963664383561644,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.8708333333333,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,382.5347109554232,938.6014982718854,1337.8680720324523,1095.5373689757682,1337.8680720324523
Canakkale,held_out_external,40.1414,26.3995,7.0,16.312260273972605,-9.0,36.0,-1.0,4.1,29.1,32.140999999999984,105,311,1494.6583333333335,392.6458333333333,236.4708333333333,1685.912,2020.524,482.591,69.87842465753425,3.649771689497717,372.8442362036742,1118.7034037989563,1215.2567294494736,847.78641067463,1215.2567294494736
Ardahan,held_out_external,41.117,42.717,1829.0,5.416187214611872,-21.4,33.2,-15.6,-10.4,22.0,27.140999999999988,2736,15,4764.325,55.2,26.450000000000003,1629.708,1790.851,572.936,73.06392694063926,1.4056621004566208,382.6651886203672,838.8931813325966,1309.0362180314678,950.5152007765312,1309.0362180314678
