energy_design_id,base_design_id,source_design_id,design_schema_version,city,orientation,room_width_m,room_depth_m,room_height_m,floor_area_m2,volume_m3,requested_wwr,actual_wwr,window_area_m2,glazing_type,wall_u_category,wall_u_value_w_m2k,roof_u_value_w_m2k,floor_u_value_w_m2k,glazing_u_value,shgc,vlt,shading_depth_m,ground_temperature_source,design_day_names,actual_wall_u_no_film_w_m2k,actual_roof_u_no_film_w_m2k,actual_floor_u_no_film_w_m2k,actual_glazing_u_w_m2k,actual_glazing_shgc,total_site_energy_gj,total_site_energy_kwh_m2,heating_gj,heating_kwh_m2,cooling_gj,cooling_kwh_m2,lighting_gj,lighting_kwh_m2,equipment_gj,equipment_kwh_m2,status,warning_count,severe_count,error_message
cg2_ankara_0001,base_0001,Ankara_base_0001,classguard_v2_paired_1,Ankara,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.201190,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Ankara.Central Ann Htg 99.6% Condns DB | Ankara.Central Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,47.800000,258.437373,36.070000,195.017491,5.350000,28.925522,3.910000,21.139961,2.470000,13.354400,ok,3,0,
cg2_antalya_0001,base_0001,Antalya_base_0001,classguard_v2_paired_1,Antalya,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.201190,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Antalya-Bolge Ann Htg 99.6% Condns DB | Antalya-Bolge Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,31.980000,172.904335,7.470000,40.387598,18.120000,97.968310,3.910000,21.139961,2.470000,13.354400,ok,1,0,
cg2_bursa_0001,base_0001,Bursa_base_0001,classguard_v2_paired_1,Bursa,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.201190,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Bursa.AP Ann Htg 99.6% Condns DB | Bursa.AP Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,40.430000,218.590440,23.050000,124.623043,11.000000,59.473036,3.910000,21.139961,2.470000,13.354400,ok,3,0,
cg2_erzurum_0001,base_0001,Erzurum_base_0001,classguard_v2_paired_1,Erzurum,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.201190,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Erzurum.Bolge Ann Htg 99.6% Condns DB | Erzurum.Bolge Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,68.070000,368.029958,59.790000,323.262982,1.900000,10.272615,3.910000,21.139961,2.470000,13.354400,ok,1,0,
cg2_istanbul_0001,base_0001,Istanbul_base_0001,classguard_v2_paired_1,Istanbul,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.201190,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Istanbul.Bolge.Kartal-Goztepe Ann Htg 99.6% Condns DB | Istanbul.Bolge.Kartal-Goztepe Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,38.820000,209.885750,19.360000,104.672543,13.080000,70.718846,3.910000,21.139961,2.470000,13.354400,ok,1,0,
cg2_izmir_0001,base_0001,Izmir_base_0001,classguard_v2_paired_1,Izmir,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.201190,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Izmir-Guzelyali Ann Htg 99.6% Condns DB | Izmir-Guzelyali Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,30.930000,167.227363,10.680000,57.742911,13.870000,74.990091,3.910000,21.139961,2.470000,13.354400,ok,1,0,
cg2_ankara_0002,base_0002,Ankara_base_0002,classguard_v2_paired_1,Ankara,S,7.2577,8.1445,3.013,59.110338,178.099447,0.31724,0.317240,6.937230,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Ankara.Central Ann Htg 99.6% Condns DB | Ankara.Central Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,49.950000,234.730515,36.200000,170.115008,6.420000,30.169568,4.500000,21.146893,2.840000,13.346039,ok,3,0,
cg2_antalya_0002,base_0002,Antalya_base_0002,classguard_v2_paired_1,Antalya,S,7.2577,8.1445,3.013,59.110338,178.099447,0.31724,0.317240,6.937230,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Antalya-Bolge Ann Htg 99.6% Condns DB | Antalya-Bolge Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,34.970000,164.334857,6.700000,31.485374,20.930000,98.356550,4.500000,21.146893,2.840000,13.346039,ok,1,0,
cg2_bursa_0002,base_0002,Bursa_base_0002,classguard_v2_paired_1,Bursa,S,7.2577,8.1445,3.013,59.110338,178.099447,0.31724,0.317240,6.937230,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Bursa.AP Ann Htg 99.6% Condns DB | Bursa.AP Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,42.100000,197.840935,21.760000,102.256977,13.010000,61.138018,4.500000,21.146893,2.840000,13.346039,ok,3,0,
cg2_erzurum_0002,base_0002,Erzurum_base_0002,classguard_v2_paired_1,Erzurum,S,7.2577,8.1445,3.013,59.110338,178.099447,0.31724,0.317240,6.937230,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Erzurum.Bolge Ann Htg 99.6% Condns DB | Erzurum.Bolge Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,71.310000,335.107768,61.520000,289.101527,2.460000,11.560302,4.500000,21.146893,2.840000,13.346039,ok,1,0,
