energy_design_id,base_design_id,source_design_id,design_schema_version,city,orientation,room_width_m,room_depth_m,room_height_m,floor_area_m2,volume_m3,requested_wwr,actual_wwr,window_area_m2,glazing_type,wall_u_category,wall_u_value_w_m2k,roof_u_value_w_m2k,floor_u_value_w_m2k,glazing_u_value,shgc,vlt,shading_depth_m,ground_temperature_source_x,design_day_names,actual_wall_u_no_film_w_m2k,actual_roof_u_no_film_w_m2k,actual_floor_u_no_film_w_m2k,actual_glazing_u_w_m2k,actual_glazing_shgc,total_site_energy_gj,total_site_energy_kwh_m2,heating_gj,heating_kwh_m2,cooling_gj,cooling_kwh_m2,lighting_gj,lighting_kwh_m2,equipment_gj,equipment_kwh_m2,status,warning_count,severe_count,error_message,climate_latitude,climate_longitude,climate_elevation_m,climate_annual_mean_temp_c,climate_annual_min_temp_c,climate_annual_max_temp_c,climate_temp_p01_c,climate_temp_p05_c,climate_temp_p95_c,climate_temp_p99_c,climate_hours_below_0c,climate_hours_above_30c,climate_heating_degree_days_18c,climate_cooling_degree_days_22c,climate_cooling_degree_days_24c,climate_annual_ghi_kwh_m2,climate_annual_dni_kwh_m2,climate_annual_dhi_kwh_m2,climate_mean_relative_humidity_pct,climate_mean_wind_speed_m_s,ground_temperature_source_y,ground_temperature_month_01_c,ground_temperature_month_02_c,ground_temperature_month_03_c,ground_temperature_month_04_c,ground_temperature_month_05_c,ground_temperature_month_06_c,ground_temperature_month_07_c,ground_temperature_month_08_c,ground_temperature_month_09_c,ground_temperature_month_10_c,ground_temperature_month_11_c,ground_temperature_month_12_c,climate_vertical_n_kwh_m2,climate_vertical_e_kwh_m2,climate_vertical_s_kwh_m2,climate_vertical_w_kwh_m2,climate_orientation_vertical_solar_kwh_m2,envelope_area_to_volume_ratio,ua_envelope_w_k,ua_intensity_w_m2k,solar_aperture_ratio,heating_transmission_proxy_kwh_m2,cooling_transmission_proxy_kwh_m2,orientation_solar_gain_proxy_kwh_m2
cg2_ankara_0001,base_0001,Ankara_base_0001,classguard_v2_paired_1,Ankara,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.20119,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Ankara.Central Ann Htg 99.6% Condns DB | Ankara.Central Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,47.8,258.437373,36.07,195.017491,5.35,28.925522,3.91,21.139961,2.47,13.3544,ok,3,0,,39.973,32.863,891.0,13.071929223744291,-12.6,36.4,-4.0,0.1,29.2,33.140999999999984,372,344,2523.7458333333334,351.1041666666667,227.54583333333335,1732.139,2087.435,511.523,58.91837899543379,2.0040753424657534,epw_ground_temperature_depth_0.5m,3.47,2.53,4.2,6.81,13.63,18.9,22.45,23.53,21.69,17.6,12.14,7.07,395.4292141174368,1198.1950649476726,1286.2126621332382,841.0764475296235,1286.2126621332382,1.1098841414729435,152.015468328,2.958814271665241,0.04077179200920378,179.21508455333645,24.932448460187153,52.441195140100675
cg2_antalya_0001,base_0001,Antalya_base_0001,classguard_v2_paired_1,Antalya,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.20119,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Antalya-Bolge Ann Htg 99.6% Condns DB | Antalya-Bolge Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,31.98,172.904335,7.47,40.387598,18.12,97.96831,3.91,21.139961,2.47,13.3544,ok,1,0,,36.885,30.6829,47.0,19.53165525114155,-0.4,41.2,4.559,7.7,31.30499999999993,35.6,4,791,934.2541666666666,792.0208333333334,527.6958333333333,1854.392,2301.835,464.692,62.134246575342466,1.6729794520547945,epw_ground_temperature_depth_0.5m,11.22,10.41,11.85,14.11,20.01,24.57,27.65,28.58,26.99,23.45,18.72,14.33,386.7884570341672,1229.6419225044115,1294.5903995721037,887.9719948453395,1294.5903995721037,1.1098841414729435,152.015468328,2.958814271665241,0.04077179200920378,66.34282948070519,56.24262108294874,52.78277050846582
cg2_bursa_0001,base_0001,Bursa_base_0001,classguard_v2_paired_1,Bursa,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.20119,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Bursa.AP Ann Htg 99.6% Condns DB | Bursa.AP Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,40.43,218.59044,23.05,124.623043,11.0,59.473036,3.91,21.139961,2.47,13.3544,ok,3,0,,40.2308,29.0133,100.0,15.324063926940639,-7.2,38.1,-1.0,2.3,29.8,33.7,123,408,1867.0458333333333,421.9666666666667,269.18333333333334,1546.412,1764.634,503.141,72.56632420091324,2.100890410958904,epw_ground_temperature_depth_0.5m,10.07,6.93,6.08,6.82,11.06,15.81,20.27,23.51,24.45,22.93,19.27,14.66,375.9722359158965,1016.3807889709257,1117.8000977299191,780.0493566872728,1117.8000977299191,1.1098841414729435,152.015468328,2.958814271665241,0.04077179200920378,132.58180458047494,29.96450389200823,45.57471309251192
cg2_erzurum_0001,base_0001,Erzurum_base_0001,classguard_v2_paired_1,Erzurum,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.20119,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Erzurum.Bolge Ann Htg 99.6% Condns DB | Erzurum.Bolge Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,68.07,368.029958,59.79,323.262982,1.9,10.272615,3.91,21.139961,2.47,13.3544,ok,1,0,,39.9058,41.2544,1869.0,7.221712328767123,-19.7,33.5,-13.6,-9.3,26.2,30.7,2232,126,4306.533333333333,166.6,100.31250000000001,1800.048,2073.498,554.396,61.1865296803653,1.3391666666666666,epw_ground_temperature_depth_0.5m,-3.72,-4.79,-2.89,0.08,7.86,13.86,17.9,19.13,17.04,12.38,6.15,0.37,389.67048200198303,916.84129355749,1380.8118581977337,1048.9581837442665,1380.8118581977337,1.1098841414729435,152.015468328,2.958814271665241,0.04077179200920378,305.8135749136499,11.830522983826299,56.29817388628018
cg2_istanbul_0001,base_0001,Istanbul_base_0001,classguard_v2_paired_1,Istanbul,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.20119,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Istanbul.Bolge.Kartal-Goztepe Ann Htg 99.6% Condns DB | Istanbul.Bolge.Kartal-Goztepe Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,38.82,209.88575,19.36,104.672543,13.08,70.718846,3.91,21.139961,2.47,13.3544,ok,1,0,,40.90149,29.15247,18.0,16.253904109589044,-3.1,35.0,0.7,4.8,28.7,31.9,24,257,1515.0041666666666,378.62083333333334,217.89583333333334,1545.168,1788.264,492.425,71.56917808219178,1.2743264840182646,epw_ground_temperature_depth_0.5m,7.97,7.16,8.6,10.85,16.74,21.28,24.35,25.28,23.69,20.16,15.45,11.07,366.568144364394,1001.3172425867128,1137.6854336921847,792.3925613649695,1137.6854336921847,1.1098841414729435,152.015468328,2.958814271665241,0.04077179200920378,107.5827827991753,26.886449405194877,46.38547387439855
cg2_izmir_0001,base_0001,Izmir_base_0001,classguard_v2_paired_1,Izmir,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.20119,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Izmir-Guzelyali Ann Htg 99.6% Condns DB | Izmir-Guzelyali Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,30.93,167.227363,10.68,57.742911,13.87,74.990091,3.91,21.139961,2.47,13.3544,ok,1,0,,38.3945,27.0821,29.0,18.85,-1.8,38.8,2.0,5.895000000000005,31.5,34.3,20,740,1087.0041666666668,739.8291666666668,491.0666666666666,1816.214,2240.86,465.122,59.132990867579906,2.665799086757991,epw_ground_temperature_depth_0.5m,10.6,9.79,11.22,13.46,19.33,23.86,26.91,27.84,26.25,22.74,18.04,13.69,379.2037645084048,1188.4819094273705,1275.0492137215,890.9155968702743,1275.0492137215,1.1098841414729435,152.015468328,2.958814271665241,0.04077179200920378,77.18984260062999,52.53641032626086,51.986041343351815
cg2_ankara_0002,base_0002,Ankara_base_0002,classguard_v2_paired_1,Ankara,S,7.2577,8.1445,3.013,59.110338,178.099447,0.31724,0.31724,6.93723,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Ankara.Central Ann Htg 99.6% Condns DB | Ankara.Central Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,49.95,234.730515,36.2,170.115008,6.42,30.169568,4.5,21.146893,2.84,13.346039,ok,3,0,,39.973,32.863,891.0,13.071929223744291,-12.6,36.4,-4.0,0.1,29.2,33.140999999999984,372,344,2523.7458333333334,351.1041666666667,227.54583333333335,1732.139,2087.435,511.523,58.91837899543379,2.0040753424657534,epw_ground_temperature_depth_0.5m,3.47,2.53,4.2,6.81,13.63,18.9,22.45,23.53,21.69,17.6,12.14,7.07,395.4292141174368,1198.1950649476726,1286.2126621332382,841.0764475296235,1286.2126621332382,1.1849241351097513,153.86925716000002,2.6030853885491236,0.04694427563584563,157.66862167588155,21.934899026609195,60.38032173749752
cg2_antalya_0002,base_0002,Antalya_base_0002,classguard_v2_paired_1,Antalya,S,7.2577,8.1445,3.013,59.110338,178.099447,0.31724,0.31724,6.93723,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Antalya-Bolge Ann Htg 99.6% Condns DB | Antalya-Bolge Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,34.97,164.334857,6.7,31.485374,20.93,98.35655,4.5,21.146893,2.84,13.346039,ok,1,0,,36.885,30.6829,47.0,19.53165525114155,-0.4,41.2,4.559,7.7,31.30499999999993,35.6,4,791,934.2541666666666,792.0208333333334,527.6958333333333,1854.392,2301.835,464.692,62.134246575342466,1.6729794520547945,epw_ground_temperature_depth_0.5m,11.22,10.41,11.85,14.11,20.01,24.57,27.65,28.58,26.99,23.45,18.72,14.33,386.7884570341672,1229.6419225044115,1294.5903995721037,887.9719948453395,1294.5903995721037,1.1849241351097513,153.86925716000002,2.6030853885491236,0.04694427563584563,58.366640890587306,49.48074860823602,60.77360855303236
cg2_bursa_0002,base_0002,Bursa_base_0002,classguard_v2_paired_1,Bursa,S,7.2577,8.1445,3.013,59.110338,178.099447,0.31724,0.31724,6.93723,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Bursa.AP Ann Htg 99.6% Condns DB | Bursa.AP Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,42.1,197.840935,21.76,102.256977,13.01,61.138018,4.5,21.146893,2.84,13.346039,ok,3,0,,40.2308,29.0133,100.0,15.324063926940639,-7.2,38.1,-1.0,2.3,29.8,33.7,123,408,1867.0458333333333,421.9666666666667,269.18333333333334,1546.412,1764.634,503.141,72.56632420091324,2.100890410958904,epw_ground_temperature_depth_0.5m,10.07,6.93,6.08,6.82,11.06,15.81,20.27,23.51,24.45,22.93,19.27,14.66,375.9722359158965,1016.3807889709257,1117.8000977299191,780.0493566872728,1117.8000977299191,1.1849241351097513,153.86925716000002,2.6030853885491236,0.04694427563584563,116.64191348403655,26.36196634691469,52.474315893608505
cg2_erzurum_0002,base_0002,Erzurum_base_0002,classguard_v2_paired_1,Erzurum,S,7.2577,8.1445,3.013,59.110338,178.099447,0.31724,0.31724,6.93723,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Erzurum.Bolge Ann Htg 99.6% Condns DB | Erzurum.Bolge Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,71.31,335.107768,61.52,289.101527,2.46,11.560302,4.5,21.146893,2.84,13.346039,ok,1,0,,39.9058,41.2544,1869.0,7.221712328767123,-19.7,33.5,-13.6,-9.3,26.2,30.7,2232,126,4306.533333333333,166.6,100.31250000000001,1800.048,2073.498,554.396,61.1865296803653,1.3391666666666666,epw_ground_temperature_depth_0.5m,-3.72,-4.79,-2.89,0.08,7.86,13.86,17.9,19.13,17.04,12.38,6.15,0.37,389.67048200198303,916.84129355749,1380.8118581977337,1048.9581837442665,1380.8118581977337,1.1849241351097513,153.86925716000002,2.6030853885491236,0.04694427563584563,269.046575887194,10.408176617574815,64.82121247247859
