energy_design_id,base_design_id,source_design_id,design_schema_version,city,orientation,room_width_m,room_depth_m,room_height_m,floor_area_m2,volume_m3,requested_wwr,actual_wwr,window_area_m2,glazing_type,wall_u_category,wall_u_value_w_m2k,roof_u_value_w_m2k,floor_u_value_w_m2k,glazing_u_value,shgc,vlt,shading_depth_m,ground_temperature_source,design_day_names,actual_wall_u_no_film_w_m2k,actual_roof_u_no_film_w_m2k,actual_floor_u_no_film_w_m2k,actual_glazing_u_w_m2k,actual_glazing_shgc,total_site_energy_gj,total_site_energy_kwh_m2,heating_gj,heating_kwh_m2,cooling_gj,cooling_kwh_m2,lighting_gj,lighting_kwh_m2,equipment_gj,equipment_kwh_m2,status,warning_count,severe_count,error_message
ext_hatay_0001,base_0001,Hatay_base_0001,classguard_v2_external_frozen_1,Hatay,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.201190,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,39.870000,215.562721,9.860000,53.309467,23.630000,127.758894,3.910000,21.139961,2.470000,13.354400,ok,3,0,
ext_hatay_0002,base_0002,Hatay_base_0002,classguard_v2_external_frozen_1,Hatay,S,7.2577,8.1445,3.013,59.110338,178.099447,0.31724,0.317240,6.937230,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,43.480000,204.325982,8.790000,41.306931,27.350000,128.526118,4.500000,21.146893,2.840000,13.346039,ok,3,0,
ext_hatay_0003,base_0003,Hatay_base_0003,classguard_v2_external_frozen_1,Hatay,E,7.6617,7.8326,3.7505,60.011031,225.071373,0.36819,0.368190,10.816011,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.199000,0.401000,51.130000,236.669450,12.030000,55.684207,31.650000,146.500843,4.570000,21.153518,2.880000,13.330882,ok,3,0,
ext_hatay_0004,base_0004,Hatay_base_0004,classguard_v2_external_frozen_1,Hatay,N,6.6174,7.0734,3.0696,46.807517,143.680355,0.25028,0.250280,5.083880,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,2.803000,0.702000,37.900000,224.916390,11.030000,65.457197,21.060000,124.979925,3.560000,21.126711,2.250000,13.352556,ok,3,0,
ext_hatay_0005,base_0005,Hatay_base_0005,classguard_v2_external_frozen_1,Hatay,W,8.0199,10.3644,3.0002,83.121452,249.380979,0.20695,0.206950,6.435167,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,2.803000,0.702000,65.820000,219.959264,15.660000,52.333061,39.830000,133.105097,6.330000,21.153785,3.990000,13.333903,ok,3,0,
ext_hatay_0006,base_0006,Hatay_base_0006,classguard_v2_external_frozen_1,Hatay,E,7.9167,8.3828,3.5454,66.364113,235.287325,0.34781,0.347810,10.337045,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.500000,0.350000,0.450000,1.600000,0.551000,54.400000,227.700040,8.060000,33.736440,38.090000,159.431884,5.050000,21.137596,3.190000,13.352263,ok,3,0,
ext_hatay_0007,base_0007,Hatay_base_0007,classguard_v2_external_frozen_1,Hatay,E,7.5179,8.6483,3.2975,65.017055,214.393737,0.271,0.271000,7.728315,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.500000,0.350000,0.450000,1.600000,0.551000,50.930000,217.592481,8.100000,34.606305,34.760000,148.508043,4.950000,21.148297,3.120000,13.329836,ok,3,0,
ext_hatay_0008,base_0008,Hatay_base_0008,classguard_v2_external_frozen_1,Hatay,W,7.5154,7.4633,3.7345,56.089685,209.466928,0.38204,0.382040,10.648102,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.500000,0.350000,0.450000,2.803000,0.702000,49.700000,246.133591,8.130000,40.262899,34.600000,171.352560,4.270000,21.146689,2.700000,13.371443,ok,3,0,
ext_hatay_0009,base_0009,Hatay_base_0009,classguard_v2_external_frozen_1,Hatay,W,7.7052,7.3345,3.6191,56.513789,204.529055,0.24985,0.249850,6.632091,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.800000,0.600000,0.700000,1.600000,0.551000,47.750000,234.701814,12.450000,61.194504,28.280000,139.002457,4.300000,21.135451,2.720000,13.369402,ok,3,0,
ext_hatay_0010,base_0010,Hatay_base_0010,classguard_v2_external_frozen_1,Hatay,W,6.4784,9.4997,3.2802,61.542856,201.872878,0.36276,0.362760,11.303934,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.500000,0.350000,0.450000,2.803000,0.702000,53.350000,240.798775,8.060000,36.379346,37.650000,169.935780,4.680000,21.123491,2.960000,13.360157,ok,3,0,
