energy_design_id,base_design_id,source_design_id,design_schema_version,city,orientation,room_width_m,room_depth_m,room_height_m,floor_area_m2,volume_m3,requested_wwr,actual_wwr,window_area_m2,glazing_type,wall_u_category,wall_u_value_w_m2k,roof_u_value_w_m2k,floor_u_value_w_m2k,glazing_u_value,shgc,vlt,shading_depth_m,ground_temperature_source_x,design_day_names,actual_wall_u_no_film_w_m2k,actual_roof_u_no_film_w_m2k,actual_floor_u_no_film_w_m2k,actual_glazing_u_w_m2k,actual_glazing_shgc,total_site_energy_gj,total_site_energy_kwh_m2,heating_gj,heating_kwh_m2,cooling_gj,cooling_kwh_m2,lighting_gj,lighting_kwh_m2,equipment_gj,equipment_kwh_m2,status,warning_count,severe_count,error_message,climate_latitude,climate_longitude,climate_elevation_m,climate_annual_mean_temp_c,climate_annual_min_temp_c,climate_annual_max_temp_c,climate_temp_p01_c,climate_temp_p05_c,climate_temp_p95_c,climate_temp_p99_c,climate_hours_below_0c,climate_hours_above_30c,climate_heating_degree_days_18c,climate_cooling_degree_days_22c,climate_cooling_degree_days_24c,climate_annual_ghi_kwh_m2,climate_annual_dni_kwh_m2,climate_annual_dhi_kwh_m2,climate_mean_relative_humidity_pct,climate_mean_wind_speed_m_s,ground_temperature_source_y,ground_temperature_month_01_c,ground_temperature_month_02_c,ground_temperature_month_03_c,ground_temperature_month_04_c,ground_temperature_month_05_c,ground_temperature_month_06_c,ground_temperature_month_07_c,ground_temperature_month_08_c,ground_temperature_month_09_c,ground_temperature_month_10_c,ground_temperature_month_11_c,ground_temperature_month_12_c,climate_vertical_n_kwh_m2,climate_vertical_e_kwh_m2,climate_vertical_s_kwh_m2,climate_vertical_w_kwh_m2,climate_orientation_vertical_solar_kwh_m2,envelope_area_to_volume_ratio,ua_envelope_w_k,ua_intensity_w_m2k,solar_aperture_ratio,heating_transmission_proxy_kwh_m2,cooling_transmission_proxy_kwh_m2,orientation_solar_gain_proxy_kwh_m2
ext_hatay_0001,base_0001,Hatay_base_0001,classguard_v2_external_frozen_1,Hatay,S,7.1819,7.1537,3.6243,51.377158,186.206234,0.20119,0.20119,5.236847,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,39.87,215.562721,9.86,53.309467,23.63,127.758894,3.91,21.139961,2.47,13.3544,ok,3,0,,36.365,36.284,267.0,19.14681506849315,-2.0,44.0,2.4,6.0,32.0,34.0,5,898,1157.0125,880.9333333333333,595.225,1820.569,2182.006,494.172,66.52614155251142,4.470388127853882,epw_ground_temperature_depth_0.5m,10.29,9.43,10.96,13.37,19.66,24.51,27.78,28.78,27.08,23.31,18.28,13.61,386.735981904024,1137.9248427460773,1269.6967972806076,908.7036212625823,1269.6967972806076,1.1098841414729435,152.015468328,2.958814271665241,0.04077179200920378,82.16124233988191,62.556434857255184,51.767813733477105
ext_hatay_0002,base_0002,Hatay_base_0002,classguard_v2_external_frozen_1,Hatay,S,7.2577,8.1445,3.013,59.110338,178.099447,0.31724,0.31724,6.93723,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,43.48,204.325982,8.79,41.306931,27.35,128.526118,4.5,21.146893,2.84,13.346039,ok,3,0,,36.365,36.284,267.0,19.14681506849315,-2.0,44.0,2.4,6.0,32.0,34.0,5,898,1157.0125,880.9333333333333,595.225,1820.569,2182.006,494.172,66.52614155251142,4.470388127853882,epw_ground_temperature_depth_0.5m,10.29,9.43,10.96,13.37,19.66,24.51,27.78,28.78,27.08,23.31,18.28,13.61,386.735981904024,1137.9248427460773,1269.6967972806076,908.7036212625823,1269.6967972806076,1.1849241351097513,153.86925716000002,2.6030853885491236,0.04694427563584563,72.28325599484864,55.035472518860985,59.60499642549125
ext_hatay_0003,base_0003,Hatay_base_0003,classguard_v2_external_frozen_1,Hatay,E,7.6617,7.8326,3.7505,60.011031,225.071373,0.36819,0.36819,10.816011,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.199,0.401,51.13,236.66945,12.03,55.684207,31.65,146.500843,4.57,21.153518,2.88,13.330882,ok,3,0,,36.365,36.284,267.0,19.14681506849315,-2.0,44.0,2.4,6.0,32.0,34.0,5,898,1157.0125,880.9333333333333,595.225,1820.569,2182.006,494.172,66.52614155251142,4.470388127853882,epw_ground_temperature_depth_0.5m,10.29,9.43,10.96,13.37,19.66,24.51,27.78,28.78,27.08,23.31,18.28,13.61,386.735981904024,1137.9248427460773,1269.6967972806076,908.7036212625823,1137.9248427460773,1.0496439558308466,175.31894014,2.9214452279615055,0.07209348561267011,81.12356752360347,61.76636358765334,82.03696827881421
ext_hatay_0004,base_0004,Hatay_base_0004,classguard_v2_external_frozen_1,Hatay,N,6.6174,7.0734,3.0696,46.807517,143.680355,0.25028,0.25028,5.08388,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,2.803,0.702,37.9,224.91639,11.03,65.457197,21.06,124.979925,3.56,21.126711,2.25,13.352556,ok,3,0,,36.365,36.284,267.0,19.14681506849315,-2.0,44.0,2.4,6.0,32.0,34.0,5,898,1157.0125,880.9333333333333,595.225,1820.569,2182.006,494.172,66.52614155251142,4.470388127853882,epw_ground_temperature_depth_0.5m,10.29,9.43,10.96,13.37,19.66,24.51,27.78,28.78,27.08,23.31,18.28,13.61,386.735981904024,1137.9248427460773,1269.6967972806076,908.7036212625823,386.735981904024,1.2365336469275845,138.25797958799998,2.9537559018138047,0.07602872846256724,82.02078000833629,62.44948877850818,29.40304495488536
ext_hatay_0005,base_0005,Hatay_base_0005,classguard_v2_external_frozen_1,Hatay,W,8.0199,10.3644,3.0002,83.121452,249.380979,0.20695,0.20695,6.435167,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,2.803,0.702,65.82,219.959264,15.66,52.333061,39.83,133.105097,6.33,21.153785,3.99,13.333903,ok,3,0,,36.365,36.284,267.0,19.14681506849315,-2.0,44.0,2.4,6.0,32.0,34.0,5,898,1157.0125,880.9333333333333,595.225,1820.569,2182.006,494.172,66.52614155251142,4.470388127853882,epw_ground_temperature_depth_0.5m,10.29,9.43,10.96,13.37,19.66,24.51,27.78,28.78,27.08,23.31,18.28,13.61,386.735981904024,1137.9248427460773,1269.6967972806076,908.7036212625823,908.7036212625823,1.108970134085487,209.178744576,2.5165434378600606,0.05419319311217036,69.88013314552953,53.205767980612535,49.24555082881163
ext_hatay_0006,base_0006,Hatay_base_0006,classguard_v2_external_frozen_1,Hatay,E,7.9167,8.3828,3.5454,66.364113,235.287325,0.34781,0.34781,10.337045,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.5,0.35,0.45,1.6,0.551,54.4,227.70004,8.06,33.73644,38.09,159.431884,5.05,21.137596,3.19,13.352263,ok,3,0,,36.365,36.284,267.0,19.14681506849315,-2.0,44.0,2.4,6.0,32.0,34.0,5,898,1157.0125,880.9333333333333,595.225,1820.569,2182.006,494.172,66.52614155251142,4.470388127853882,epw_ground_temperature_depth_0.5m,10.29,9.43,10.96,13.37,19.66,24.51,27.78,28.78,27.08,23.31,18.28,13.61,386.735981904024,1137.9248427460773,1269.6967972806076,908.7036212625823,1137.9248427460773,1.0553255284788503,122.25028719999999,1.8421143849236707,0.08566941518528244,51.15238487487597,38.94671917181021,97.48535580286092
ext_hatay_0007,base_0007,Hatay_base_0007,classguard_v2_external_frozen_1,Hatay,E,7.5179,8.6483,3.2975,65.017055,214.393737,0.271,0.271,7.728315,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.5,0.35,0.45,1.6,0.551,50.93,217.592481,8.1,34.606305,34.76,148.508043,4.95,21.148297,3.12,13.329836,ok,3,0,,36.365,36.284,267.0,19.14681506849315,-2.0,44.0,2.4,6.0,32.0,34.0,5,898,1157.0125,880.9333333333333,595.225,1820.569,2182.006,494.172,66.52614155251142,4.470388127853882,epw_ground_temperature_depth_0.5m,10.29,9.43,10.96,13.37,19.66,24.51,27.78,28.78,27.08,23.31,18.28,13.61,386.735981904024,1137.9248427460773,1269.6967972806076,908.7036212625823,1137.9248427460773,1.1038111575059677,113.82283500000003,1.750661191898034,0.06537628088506932,48.612885174982175,37.01317918358499,74.39329414546589
ext_hatay_0008,base_0008,Hatay_base_0008,classguard_v2_external_frozen_1,Hatay,W,7.5154,7.4633,3.7345,56.089685,209.466928,0.38204,0.38204,10.648102,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.5,0.35,0.45,2.803,0.702,49.7,246.133591,8.13,40.262899,34.6,171.35256,4.27,21.146689,2.7,13.371443,ok,3,0,,36.365,36.284,267.0,19.14681506849315,-2.0,44.0,2.4,6.0,32.0,34.0,5,898,1157.0125,880.9333333333333,595.225,1820.569,2182.006,494.172,66.52614155251142,4.470388127853882,epw_ground_temperature_depth_0.5m,10.29,9.43,10.96,13.37,19.66,24.51,27.78,28.78,27.08,23.31,18.28,13.61,386.735981904024,1137.9248427460773,1269.6967972806076,908.7036212625823,908.7036212625823,1.069645134147382,125.30033775000001,2.233928355097733,0.1328884517714799,62.032392742860395,47.23060685481831,120.7562173487218
ext_hatay_0009,base_0009,Hatay_base_0009,classguard_v2_external_frozen_1,Hatay,W,7.7052,7.3345,3.6191,56.513789,204.529055,0.24985,0.24985,6.632091,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.6,0.551,47.75,234.701814,12.45,61.194504,28.28,139.002457,4.3,21.135451,2.72,13.369402,ok,3,0,,36.365,36.284,267.0,19.14681506849315,-2.0,44.0,2.4,6.0,32.0,34.0,5,898,1157.0125,880.9333333333333,595.225,1820.569,2182.006,494.172,66.52614155251142,4.470388127853882,epw_ground_temperature_depth_0.5m,10.29,9.43,10.96,13.37,19.66,24.51,27.78,28.78,27.08,23.31,18.28,13.61,386.735981904024,1137.9248427460773,1269.6967972806076,908.7036212625823,908.7036212625823,1.0848724380015349,165.861883732,2.934892292074063,0.06454442560911992,81.49696963400021,62.050666795946675,58.65175328332062
ext_hatay_0010,base_0010,Hatay_base_0010,classguard_v2_external_frozen_1,Hatay,W,6.4784,9.4997,3.2802,61.542856,201.872878,0.36276,0.36276,11.303934,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,0.0,epw_ground_temperature_depth_0.5m,Hatay Ann Htg 99.6% Condns DB | Hatay Ann Clg 1% Condns WB=>MDB,0.5,0.35,0.45,2.803,0.702,53.35,240.798775,8.06,36.379346,37.65,169.93578,4.68,21.123491,2.96,13.360157,ok,3,0,,36.365,36.284,267.0,19.14681506849315,-2.0,44.0,2.4,6.0,32.0,34.0,5,898,1157.0125,880.9333333333333,595.225,1820.569,2182.006,494.172,66.52614155251142,4.470388127853882,epw_ground_temperature_depth_0.5m,10.29,9.43,10.96,13.37,19.66,24.51,27.78,28.78,27.08,23.31,18.28,13.61,386.735981904024,1137.9248427460773,1269.6967972806076,908.7036212625823,908.7036212625823,1.1289700800718758,127.64469661999999,2.074078210150013,0.12857306784722503,57.593625962908604,43.85099115027563,116.83481234961306
