protocol,target_city,target,n_eval,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery
AARS_v4_1_shot_common997,Ardahan,heating,997,3.0817204648761796,3.9301849120584396,0.9944480643316201,0.9976281913320909,0.9655996100752057,0.0,0.98
AARS_v4_1_shot_common997,Ardahan,cooling,997,1.051545662949345,1.345292848256802,0.8842302600743321,0.9847590159980599,0.8998389745938898,0.5468880000000005,0.88
AARS_v4_1_shot_common997,Ardahan,total,997,3.7300168807962764,4.751032368405841,0.9909602598424332,0.994871859948099,0.9474205749779461,1.541055,0.96
AARS_v4_3_shot_common997,Ardahan,heating,997,3.2971050712172625,4.0562901263216,0.994086065940731,0.9973837658519659,0.9603307915715018,2.695930000000004,1.0
AARS_v4_3_shot_common997,Ardahan,cooling,997,1.0085147984615437,1.269421225450334,0.8969203578556999,0.9840430246725733,0.900974913672108,0.10696800000000062,0.9
AARS_v4_3_shot_common997,Ardahan,total,997,4.070764550656734,4.891201923480688,0.9904189930996786,0.992887116815594,0.936234406029333,1.541055,0.96
AARS_v4_1_shot_common997,Bartin,heating,997,2.3078598210595884,2.923268759226418,0.988874896248733,0.9976553389555151,0.9644596439922177,0.0,0.92
AARS_v4_1_shot_common997,Bartin,cooling,997,0.9044727253061458,1.2623262817016279,0.9848705888575124,0.9937746213021567,0.9333663641526992,0.0,0.94
AARS_v4_1_shot_common997,Bartin,total,997,2.3774644751130745,3.1660252123181216,0.981601125955805,0.9946308248937363,0.944109436743967,4.646491999999995,0.84
AARS_v4_3_shot_common997,Bartin,heating,997,1.7123890865510751,2.3563144615142932,0.9927717514701745,0.9989411094911606,0.9761654441235353,0.0,0.98
AARS_v4_3_shot_common997,Bartin,cooling,997,1.0033242391530925,1.3123010385766205,0.9836489471828027,0.9932565642456986,0.9304540126403308,0.0,0.94
AARS_v4_3_shot_common997,Bartin,total,997,1.9412460768145765,2.792118227762582,0.9856903136069556,0.9961729842689815,0.9560166443104414,4.646491999999995,0.84
AARS_v4_1_shot_common997,Bingol,heating,997,5.876333600908633,6.931639094783812,0.9696362752836406,0.9980400433015492,0.9639883505939506,8.411415000000005,0.98
AARS_v4_1_shot_common997,Bingol,cooling,997,2.33863609396804,3.1665360332527537,0.8965245907431884,0.9943730193405145,0.9375274417630401,0.0,0.86
AARS_v4_1_shot_common997,Bingol,total,997,3.778755150575004,4.768590303257719,0.982375339807371,0.9981372516516157,0.967251151043492,0.9707780000000241,0.94
AARS_v4_3_shot_common997,Bingol,heating,997,4.01570158642539,4.929701052063454,0.9846423655042711,0.998367643190818,0.9669812650803818,8.411415000000005,0.98
AARS_v4_3_shot_common997,Bingol,cooling,997,1.3780791016203247,2.2246374931767425,0.9489275386172759,0.9952529316951024,0.9409271992684884,0.0,0.92
AARS_v4_3_shot_common997,Bingol,total,997,3.127190297782908,3.8891277216759397,0.988276827872615,0.9976787813279278,0.9635251134930899,0.9707780000000241,0.98
AARS_v4_1_shot_common997,Canakkale,heating,997,2.798971682645494,3.6511096716823266,0.9729260703519663,0.9982571395282985,0.9656197508187213,0.5522620000000025,0.96
AARS_v4_1_shot_common997,Canakkale,cooling,997,0.7699439989604435,1.1262702359893273,0.9915005669454342,0.9985151024941451,0.9697566595368435,0.0,0.96
AARS_v4_1_shot_common997,Canakkale,total,997,2.5600584016607617,3.346018542212539,0.9708987543264812,0.993155214732737,0.929902156268001,0.2074570000000051,0.78
AARS_v4_3_shot_common997,Canakkale,heating,997,2.5939926690182875,3.411542859061077,0.9763624096141165,0.9984702398961136,0.9684152860186989,0.6405760000000029,0.98
AARS_v4_3_shot_common997,Canakkale,cooling,997,0.6962978644591161,1.0092312056492778,0.9931752604167061,0.998960858721225,0.9741553979206699,0.0,0.98
AARS_v4_3_shot_common997,Canakkale,total,997,2.527177883621118,3.2255278257477964,0.9729568997421115,0.9932588043484343,0.9303331681792366,1.1027880000000039,0.7
AARS_v4_1_shot_common997,Hatay,heating,997,2.899801950816992,3.7289095234198912,0.9322183826744571,0.987657203447511,0.9105227328572063,0.4893470000000004,0.84
AARS_v4_1_shot_common997,Hatay,cooling,997,2.4817015369841826,3.273711559905779,0.9638760155831093,0.9982978851807616,0.9643911654642644,0.44499199999999917,0.9
AARS_v4_1_shot_common997,Hatay,total,997,3.4408234626220184,4.489890616806529,0.937401111130338,0.9706212826857328,0.8562232883389125,0.1543230000000051,0.92
AARS_v4_3_shot_common997,Hatay,heating,997,2.1028936259756152,2.65711453676263,0.9655833348808992,0.9911544397298422,0.9266151869262408,0.4893470000000004,0.88
AARS_v4_3_shot_common997,Hatay,cooling,997,1.958035809584857,2.6062679941779585,0.9771043507171304,0.99860074707063,0.9682904134089015,0.0,0.94
AARS_v4_3_shot_common997,Hatay,total,997,3.143637590051946,4.008363200190228,0.95010819277812,0.9767497436414323,0.8718283364148672,0.1543230000000051,0.9
AARS_v4_1_shot_common997,Kars,heating,997,2.5403690267385173,3.3277642050688434,0.9958352337059264,0.9981866307811089,0.9746508602111557,0.0,0.98
AARS_v4_1_shot_common997,Kars,cooling,997,0.5821967042880698,0.867669833038758,0.9713219048494212,0.991625914758061,0.9264016950449744,0.46553800000000045,0.92
AARS_v4_1_shot_common997,Kars,total,997,2.589414206760992,3.397184917360697,0.9950540464188153,0.9976219432617578,0.9684394549109175,0.9799199999999928,0.98
AARS_v4_3_shot_common997,Kars,heating,997,2.673405055169717,3.3869223016892747,0.9956858423470414,0.9985278165907532,0.9740184408647631,2.220088000000004,1.0
AARS_v4_3_shot_common997,Kars,cooling,997,0.5829011219187376,0.8610986034132295,0.9717546425897929,0.991134666282451,0.9265829617366156,0.0817490000000003,0.9
AARS_v4_3_shot_common997,Kars,total,997,2.844085197337758,3.6760595328739276,0.9942086910530937,0.997387870688871,0.9640890543115291,0.9799199999999928,0.96
AARS_v4_1_shot_common997,Konya,heating,997,1.7185642426152319,2.2559203964488552,0.9963222165395065,0.9986857377792892,0.9715814108993648,0.0,0.98
AARS_v4_1_shot_common997,Konya,cooling,997,0.8167689558146816,1.0381048329953684,0.9887900693168431,0.9983312929831824,0.9661272975553167,0.15410400000000024,0.96
AARS_v4_1_shot_common997,Konya,total,997,2.2653914764571983,2.91476504387559,0.9921885402270808,0.9973034854133837,0.9585503498447149,0.49301899999997545,0.98
AARS_v4_3_shot_common997,Konya,heating,997,1.6818779399438981,2.1088278117847707,0.9967861851379808,0.9986484915305591,0.9730597414734163,0.0,0.98
AARS_v4_3_shot_common997,Konya,cooling,997,0.6114045898172957,0.798805999157926,0.993362521353753,0.9987617680770056,0.971085948608879,0.15410400000000024,0.96
AARS_v4_3_shot_common997,Konya,total,997,1.7480336303487614,2.23301087112465,0.9954153438360457,0.9971120958791097,0.9598313011323126,0.0,0.98
AARS_v4_1_shot_common997,Sanliurfa,heating,997,4.666544431886115,5.697582877849551,0.9422673322278062,0.9850258819048354,0.9160856062162392,0.0,0.94
AARS_v4_1_shot_common997,Sanliurfa,cooling,997,5.390995362291706,7.014297050228139,0.8098834413205684,0.9520119258710531,0.806942917104728,2.5461340000000092,0.54
AARS_v4_1_shot_common997,Sanliurfa,total,997,5.9043889016599715,7.239141445957316,0.9172435978450476,0.9771337941196411,0.8799168590107673,3.934656999999987,0.72
AARS_v4_3_shot_common997,Sanliurfa,heating,997,2.9972326063853094,3.748429884487718,0.9750115621448222,0.990012931810377,0.927440957410384,0.0,0.98
AARS_v4_3_shot_common997,Sanliurfa,cooling,997,3.4907332347100066,4.675588855269705,0.9155257652742909,0.963841290876517,0.8312044567437252,2.5461340000000092,0.54
AARS_v4_3_shot_common997,Sanliurfa,total,997,4.24320589206374,5.153052766231965,0.9580669303263317,0.9854337259066962,0.9029135599569794,0.9413959999999975,0.94
