protocol,target_city,target,comparison_budget,n_calibration,n_eval,calibration_anchor_ids,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery
zero_shot_absolute,Ardahan,heating,0,0,1000,,10.257556770726223,11.305300974603487,0.9539969670563797,0.9979043899043899,0.9621021021021021,2.695930000000004,0.94
zero_shot_absolute,Ardahan,cooling,0,0,1000,,6.468138485696117,6.63053684032426,-1.8176393345537836,0.987573804536526,0.9079628708341594,0.10696800000000062,0.88
zero_shot_absolute,Ardahan,total,0,0,1000,,5.295355142678906,6.624748859731604,0.9824001889671787,0.9966617766617767,0.9530250250250251,1.541055,0.94
zero_shot_absolute_aligned_1shot,Ardahan,heating,1,0,999,base_0948,10.256409692441016,11.305202262078316,0.9540328011316176,0.997901917950014,0.962090346859886,2.695930000000004,0.94
zero_shot_absolute_aligned_1shot,Ardahan,cooling,1,0,999,base_0948,6.469946596098619,6.632214739176337,-1.8164013908045291,0.9876571791861717,0.9082317871300586,0.10696800000000062,0.88
zero_shot_absolute_aligned_1shot,Ardahan,total,1,0,999,base_0948,5.29391491315651,6.624638449592863,0.9824133524083829,0.9966595894491684,0.9530351995281856,1.541055,0.94
1_shot_global_bias,Ardahan,heating,1,1,999,base_0948,4.062688639459627,4.962039859773286,0.9911445249572167,0.997901917950014,0.962090346859886,2.695930000000004,0.94
1_shot_global_bias,Ardahan,cooling,1,1,999,base_0948,1.8121261768117771,2.322784238325955,0.6545420973493152,0.9876571791861717,0.9082317871300586,0.10696800000000062,0.88
1_shot_global_bias,Ardahan,total,1,1,999,base_0948,5.0905100825306615,6.219420154810525,0.984499043673772,0.9966595894491684,0.9530351995281856,1.541055,0.94
1_shot_raw_relative,Ardahan,heating,1,1,999,base_0948,4.390479325522088,5.357095423333269,0.9896783261745179,0.9958799159881323,0.9507322954216744,2.695930000000004,0.98
1_shot_raw_relative,Ardahan,cooling,1,1,999,base_0948,1.0514330932884584,1.344875868271549,0.8841911382618317,0.9847739171579614,0.8998346039777808,0.5468880000000005,0.88
1_shot_raw_relative,Ardahan,total,1,1,999,base_0948,4.595925174344208,5.7797991206083985,0.9866129714857592,0.9931015785324402,0.9382187799021467,1.541055,0.96
zero_shot_absolute_aligned_3shot,Ardahan,heating,3,0,997,base_0948|base_0945|base_0724,10.25579095214958,11.304526776568236,0.9540671671474228,0.9979014717571845,0.962095120703476,2.695930000000004,0.94
zero_shot_absolute_aligned_3shot,Ardahan,cooling,3,0,997,base_0948|base_0945|base_0724,6.470122465497446,6.632678225145939,-1.814098197877895,0.9876603183638255,0.9082739264725742,0.10696800000000062,0.88
zero_shot_absolute_aligned_3shot,Ardahan,total,3,0,997,base_0948|base_0945|base_0724,5.293854874066602,6.6243201637403155,0.9824263247185788,0.9966655525889063,0.9530680394597448,1.541055,0.94
3_shot_global_bias,Ardahan,heating,3,3,997,base_0948|base_0945|base_0724,3.9625144505731256,4.85976353347204,0.9915111524778292,0.9979014717571845,0.962095120703476,2.695930000000004,0.94
3_shot_global_bias,Ardahan,cooling,3,3,997,base_0948|base_0945|base_0724,1.0972939426914283,1.60227606617707,0.8357762057899398,0.9876603183638255,0.9082739264725742,0.10696800000000062,0.88
3_shot_global_bias,Ardahan,total,3,3,997,base_0948|base_0945|base_0724,4.579396497351169,5.6046444045979085,0.9874201316773766,0.9966655525889063,0.9530680394597448,1.541055,0.94
3_shot_raw_relative,Ardahan,heating,3,3,997,base_0948|base_0945|base_0724,6.3198480740416905,7.4949856239299475,0.9798088960158041,0.9918311687119694,0.9376442580754313,2.695930000000004,0.94
3_shot_raw_relative,Ardahan,cooling,3,3,997,base_0948|base_0945|base_0724,1.0085147984615437,1.269421225450334,0.8969203578556999,0.9840430246725733,0.900974913672108,0.10696800000000062,0.9
3_shot_raw_relative,Ardahan,total,3,3,997,base_0948|base_0945|base_0724,6.427273214161003,7.731257301215521,0.9760624210972793,0.9884836439443645,0.9283956286530275,1.541055,0.96
zero_shot_absolute,Bartin,heating,0,0,1000,,4.376834956810723,5.2403512185200976,0.9641807185247896,0.9953047433047434,0.944988988988989,0.8561049999999994,0.98
zero_shot_absolute,Bartin,cooling,0,0,1000,,2.439214408186078,2.7846531912567425,0.9262210502997397,0.9821438141438141,0.8925485485485485,0.2197490000000002,0.86
zero_shot_absolute,Bartin,total,0,0,1000,,3.2918057673696475,4.221777767228842,0.9672396723386824,0.9906112026112026,0.9233553553553554,1.372951999999998,0.84
zero_shot_absolute_aligned_1shot,Bartin,heating,1,0,999,base_0948,4.377122499372142,5.241376561327549,0.9641941928057934,0.9952955039207544,0.944942938930915,0.8561049999999994,0.98
zero_shot_absolute_aligned_1shot,Bartin,cooling,1,0,999,base_0948,2.4394114257713184,2.785143100009017,0.926245749829839,0.9821435303038508,0.8925418404376322,0.2197490000000002,0.86
zero_shot_absolute_aligned_1shot,Bartin,total,1,0,999,base_0948,3.2931970456663917,4.223461595514872,0.9672244559191404,0.9905905745424781,0.9232699633501239,1.372951999999998,0.84
1_shot_global_bias,Bartin,heating,1,1,999,base_0948,2.657594735542719,3.295856546513009,0.9858420835396349,0.9952955039207544,0.944942938930915,0.8561049999999994,0.98
1_shot_global_bias,Bartin,cooling,1,1,999,base_0948,1.2063754943458762,1.643373823198819,0.9743217895480859,0.9821435303038508,0.8925418404376322,0.2197490000000002,0.86
1_shot_global_bias,Bartin,total,1,1,999,base_0948,3.014236756816342,3.8082060692477877,0.9733526704688956,0.9905905745424781,0.9232699633501239,1.372951999999998,0.84
1_shot_raw_relative,Bartin,heating,1,1,999,base_0948,2.0418029836157947,2.6362859194350228,0.9909416777982083,0.9986338924094434,0.969548707023657,0.0,0.96
1_shot_raw_relative,Bartin,cooling,1,1,999,base_0948,0.9031287579410648,1.2611450071666308,0.9848775529079555,0.9937864076501348,0.9334284183983583,0.0,0.94
1_shot_raw_relative,Bartin,total,1,1,999,base_0948,2.6141894231760463,3.36900529706465,0.9791447116652989,0.9948677535250681,0.9451916846706427,14.052098,0.82
