protocol,target,comparison_budget,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery
1_shot_global_bias,cooling,1,3.072612429913027,4.017930498454305,0.8063305059548371,0.9788958051170555,0.8934061622344439,0.6766063750000018,0.8
1_shot_global_bias,heating,1,5.171365763887541,6.354897873659105,0.9182159780171597,0.9889924985105345,0.9220773880092519,1.513580125000002,0.8825
1_shot_global_bias,total,1,5.822441794444294,7.449411643403241,0.8923997624076958,0.958748509030072,0.8595875434552791,1.6681341249999981,0.865
1_shot_raw_relative,cooling,1,1.7910264474402724,2.3856281141871714,0.9363414162951718,0.988946293106022,0.9255125491015886,0.5197070000000013,0.87
1_shot_raw_relative,heating,1,3.4409119439974045,4.452100111577346,0.9757929994994965,0.9951325804762676,0.9461370187823095,1.4264160000000021,0.9249999999999999
1_shot_raw_relative,total,1,4.020385849269833,5.329372881485414,0.9579001645389411,0.9887213676602453,0.9181481080278676,2.7427126249999993,0.88
3_shot_global_bias,cooling,3,2.3050544856588218,3.189279348817755,0.8844503194175669,0.9789194011936979,0.8934481462148117,0.6766063750000018,0.8
3_shot_global_bias,heating,3,4.704963678255343,5.8859574747302315,0.9422970196925939,0.9890180386149637,0.9221761670553832,1.513580125000002,0.8825
3_shot_global_bias,total,3,5.767654694224771,7.391729785392726,0.8938114983100705,0.9587839017450741,0.8596643343685677,1.6681341249999981,0.865
3_shot_raw_relative,cooling,3,1.3411613449656217,1.8446690518589741,0.9600524230009315,0.9904814814551504,0.9304594129999648,0.3611193750000013,0.885
3_shot_raw_relative,heating,3,4.399469355831639,5.498887656426662,0.9684884090894359,0.9937769249753754,0.9417212480815943,2.9337116250000044,0.925
3_shot_raw_relative,total,3,4.823735098623278,6.130823387764668,0.951858228855984,0.9872075134183972,0.9145846173057326,2.1390920000000015,0.8825
AARS_v4_1_shot,cooling,1,1.7910264474402724,2.3856281141871714,0.9363414162951718,0.988946293106022,0.9255125491015886,0.5197070000000011,0.87
AARS_v4_1_shot,heating,1,3.2371545654500298,4.05700414223491,0.9739877840246012,0.9951265157943513,0.9539990892696305,1.181628000000001,0.9475
AARS_v4_1_shot,total,1,3.3305202666858853,4.258326269662781,0.9709483192000788,0.990410368785619,0.9314073592630708,1.615962624999998,0.89
AARS_v4_3_shot,cooling,3,1.3411613449656217,1.8446690518589741,0.9600524230009315,0.9904814814551504,0.9304594129999648,0.36111937500000124,0.885
AARS_v4_3_shot,heating,3,2.6343247050858194,3.331892879210602,0.9851161896300046,0.9964383047614487,0.9591283891836153,1.807169500000002,0.9725
AARS_v4_3_shot,total,3,2.9556676398346924,3.733557758635972,0.979392774039369,0.9920851403596309,0.9355964479784737,1.2920940000000023,0.9075
zero_shot_absolute,cooling,0,20.57615647839755,20.893538099408964,-3.631396524131132,0.978879724623007,0.8933370675919622,0.6766063750000018,0.8
zero_shot_absolute,heating,0,14.7363914922718,15.863741729396919,0.5557194352150047,0.9889776664776665,0.9220485485485486,1.513580125000002,0.8825
zero_shot_absolute,total,0,23.89821382590766,25.179373263997952,-0.886754315654193,0.9587479067479068,0.8596211211211211,1.6681341249999981,0.865
zero_shot_absolute_aligned_1shot,cooling,1,20.57864457200153,20.89607345242797,-3.632142540929662,0.9788958051170555,0.8934061622344439,0.6766063750000018,0.8
zero_shot_absolute_aligned_1shot,heating,1,14.738094945116213,15.86556948410266,0.5559994388089814,0.9889924985105345,0.9220773880092519,1.513580125000002,0.8825
zero_shot_absolute_aligned_1shot,total,1,23.899402719993333,25.181079160916994,-0.8867370592596959,0.958748509030072,0.8595875434552791,1.6681341249999981,0.865
zero_shot_absolute_aligned_3shot,cooling,3,20.58036228842518,20.8981271124717,-3.6260969984738844,0.9789194011936979,0.8934481462148117,0.6766063750000018,0.8
zero_shot_absolute_aligned_3shot,heating,3,14.735927470103924,15.863330273940502,0.5567544593317364,0.9890180386149637,0.9221761670553832,1.513580125000002,0.8825
zero_shot_absolute_aligned_3shot,total,3,23.90104774298676,25.183755861089207,-0.8850234639139707,0.9587839017450741,0.8596643343685677,1.6681341249999981,0.865
