target_city,anchor_budget,target,universe,n_calibration,n_eval,calibration_anchor_ids,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery,top_k
Ardahan,1,heating,strict_holdout,1,999,base_0948,3.07901465358292,3.9275461126169433,0.9944520319465406,0.9976315874993228,0.9656209315527956,0.0,0.98,50
Ardahan,1,cooling,strict_holdout,1,999,base_0948,1.0514330932884584,1.344875868271549,0.8841911382618317,0.9847739171579614,0.8998346039777808,0.5468880000000005,0.88,50
Ardahan,1,total,strict_holdout,1,999,base_0948,3.727969810343689,4.748636199611323,0.9909635781501944,0.9948592560496364,0.9473702159072902,1.541055,0.96,50
Ardahan,3,heating,strict_holdout,3,997,base_0948|base_0945|base_0724,3.297105071217264,4.0562901263216,0.994086065940731,0.997383765851966,0.9603307915715018,2.695930000000004,1.0,50
Ardahan,3,cooling,strict_holdout,3,997,base_0948|base_0945|base_0724,1.0085147984615437,1.269421225450334,0.8969203578556999,0.9840430246725732,0.900974913672108,0.1069680000000006,0.9,50
Ardahan,3,total,strict_holdout,3,997,base_0948|base_0945|base_0724,4.070764550656734,4.891201923480688,0.9904189930996786,0.992887116815594,0.936234406029333,1.541055,0.96,50
Bartin,1,heating,strict_holdout,1,999,base_0948,2.30540383880889,2.9207774877265043,0.9888811546594984,0.9976555152346732,0.9644694794995398,0.0,0.92,50
Bartin,1,cooling,strict_holdout,1,999,base_0948,0.9031287579410648,1.2611450071666308,0.9848775529079556,0.9937864076501348,0.9334284183983584,0.0,0.94,50
Bartin,1,total,strict_holdout,1,999,base_0948,2.375353417422378,3.1635102669838178,0.981611288150718,0.9946264902176724,0.9440923889821689,4.646491999999995,0.84,50
Bartin,3,heating,strict_holdout,3,997,base_0948|base_0945|base_0724,1.712389086551075,2.356314461514293,0.9927717514701744,0.9989411094911606,0.9761654441235352,0.0,0.98,50
Bartin,3,cooling,strict_holdout,3,997,base_0948|base_0945|base_0724,1.0033242391530923,1.3123010385766205,0.9836489471828028,0.9932565642456986,0.9304540126403308,0.0,0.94,50
Bartin,3,total,strict_holdout,3,997,base_0948|base_0945|base_0724,1.941246076814577,2.7921182277625824,0.9856903136069556,0.9961729842689816,0.9560166443104414,4.646491999999995,0.84,50
Bingol,1,heating,strict_holdout,1,999,base_0948,5.878507012013976,6.931706630153993,0.9696094354225238,0.9980382747476936,0.9639559399078438,8.411415000000005,0.98,50
Bingol,1,cooling,strict_holdout,1,999,base_0948,2.33603855244744,3.1637288441141296,0.8965662660557501,0.9943693513152432,0.937516674991625,0.0,0.86,50
Bingol,1,total,strict_holdout,1,999,base_0948,3.783065680187663,4.771203290561478,0.9823392235722076,0.9981284370542884,0.967189634524304,0.970778000000024,0.94,50
Bingol,3,heating,strict_holdout,3,997,base_0948|base_0945|base_0724,4.015701586425391,4.929701052063455,0.9846423655042712,0.998367643190818,0.9669812650803818,8.411415000000005,0.98,50
Bingol,3,cooling,strict_holdout,3,997,base_0948|base_0945|base_0724,1.3780791016203249,2.2246374931767425,0.948927538617276,0.9952529316951024,0.9409271992684884,0.0,0.92,50
Bingol,3,total,strict_holdout,3,997,base_0948|base_0945|base_0724,3.127190297782908,3.88912772167594,0.988276827872615,0.9976787813279278,0.96352511349309,0.970778000000024,0.98,50
Canakkale,1,heating,strict_holdout,1,999,base_0948,2.796748129802433,3.648995917568598,0.9729222979057408,0.9982547437216776,0.9656008714124948,0.5522620000000025,0.96,50
